bigram	frequency
will become	6
patroclus son	6
poor man	6
three men	6
solemn covenant	6
will hear	6
come inside	6
fair words	6
studded sword	6
man like	6
good thing	6
trouble enough	6
maid servant	6
drink offerings	6
turned away	6
among mankind	6
one place	6
antinous said	6
foot soldiers	6
done speaking	6
brave diomed	6
bastard son	6
fourth time	6
great oath	6
trojans will	6
soon reached	6
olive tree	6
father peleus	6
nurse euryclea	6
will hold	6
will follow	6
atreus drew	6
topmost summits	6
gather round	6
redoubtable bronze	6
life went	6
panic among	6
looking towards	6
good fellow	6
give orders	6
us see	6
dread son	6
eyes filled	6
yet heard	6
keep guard	6
deep trench	6
sallied forth	6
river styx	6
replied eumaeus	6
others followed	6
looked fiercely	6
like mars	6
silver basin	6
far away	6
olympian jove	6
far end	6
twenty years	6
many good	6
wrought also	6
little way	6
father stranger	6
hector answered	6
surely come	6
chief among	6
put courage	6
went along	6
great wave	6
held aloof	6
thick cloud	6
may lie	6
great ransom	6
killed many	6
got away	6
day will	6
loud battle	6
bird flew	6
went forth	6
answered euryclea	6
bronze armour	6
achilles sprang	6
nestor son	6
fleet iris	6
hold aloof	6
maid servants	6
every single	6
say nothing	6
will offer	6
clean table	6
come true	6
nine years	6
year old	6
will surely	6
fleet descendant	6
daughter minerva	6
minerva took	6
wicked people	6
achaeans shall	6
close together	6
death shall	6
took hold	6
brave men	6
therefore went	6
knight patroclus	6
nymph calypso	6
white sails	6
might come	6
go upstairs	6
twenty men	6
thick mist	6
golden ewer	6
will turn	6
another man	6
must make	6
meanwhile ulysses	6
lower part	6
table beside	6
will keep	6
us make	5
one say	5
posts supporting	5
said ulysses	5
will vouchsafe	5
achaean land	5
standing near	5
pages filled	5
whose counsel	5
open sea	5
nodded menacingly	5
comrade patroclus	5
got hold	5
laid heavily	5
waited till	5
gave chase	5
among heroes	5
goddess calypso	5
great multitude	5
old men	5
knight peleus	5
one mind	5
will one	5
give ground	5
unhappy father	5
minerva heard	5
shall die	5
cunning workmanship	5
flaming fire	5
useful arts	5
now fall	5
will lie	5
now took	5
open country	5
till presently	5
heaven may	5
let go	5
giving every	5
good earnest	5
brave menelaus	5
woollen cloaks	5
south wind	5
earth ran	5
goodwill addressed	5
make peace	5
body away	5
old knight	5
deep blue	5
achaeans might	5
strong enough	5
mother thetis	5
ashen spear	5
sun set	5
mind now	5
dense forest	5
young women	5
never get	5
seen fit	5
deep waters	5
son vulcan	5
apollo said	5
shouted applause	5
saw hector	5
much treasure	5
paying court	5
safely back	5
good old	5
stained spoils	5
take troy	5
whole body	5
laughed heartily	5
great distress	5
jove sent	5
far stronger	5
fifty ships	5
goodly city	5
loud cries	5
inner court	5
eldest daughter	5
spears pointed	5
main body	5
might make	5
without paying	5
vultures shall	5
noble trojans	5
ulysses came	5
little space	5
also came	5
heaven robbed	5
achaean host	5
ten talents	5
went upstairs	5
achaeans shouted	5
wo nt	5
fell back	5
sprang towards	5
lay hands	5
give us	5
bossed shields	5
done praying	5
one half	5
achilles went	5
wrought iron	5
whose name	5
came towards	5
wooded mountain	5
dead patroclus	5
ran red	5
fighting till	5
far better	5
great abundance	5
good looking	5
heaven will	5
mountain tops	5
shod spears	5
fast asleep	5
draw back	5
brave father	5
good name	5
minerva put	5
fell forward	5
good wear	5
river xanthus	5
one end	5
large tripod	5
take heed	5
till minerva	5
great numbers	5
make light	5
gave ulysses	5
white barley	5
brought us	5
menelaus struck	5
broad shoulders	5
trojan ranks	5
loud war	5
many presents	5
theban prophet	5
left alive	5
heaven grant	5
well disposed	5
give ear	5
prophet teiresias	5
whole year	5
offer sacrifice	5
never mind	5
turn towards	5
already dead	5
shall return	5
much suffering	5
achaean heroes	5
beautiful presents	5
lately come	5
take care	5
mighty ajax	5
second time	5
will carry	5
point went	5
come forward	5
gleaming bronze	5
will meet	5
sped onward	5
one word	5
gleaming armour	5
golden venus	5
dead men	5
poor wretch	5
get news	5
first place	5
flying night	5
came gushing	5
came near	5
born hereafter	5
good man	5
jove gave	5
queen juno	5
may tell	5
sailed away	5
river scamander	5
may bring	5
many tears	5
will either	5
shall make	5
one will	5
trojans shall	5
murderous hector	5
safely home	5
river oceanus	5
brave sons	5
tasselled aegis	5
arrow went	5
better men	5
whole people	5
made answer	5
us give	5
will talk	5
point blank	5
stood near	5
argives set	5
fine house	5
turned round	5
fallow field	5
jove must	5
will add	5
coming home	5
three years	5
immortal god	5
ogygian island	5
answered penelope	5
shall bring	5
everywhere among	5
golden goblet	5
fell thick	5
close beside	5
close quarters	5
without effect	5
valiant though	5
said nothing	5
comes near	5
yet another	5
spread panic	5
will stay	5
deep sleep	5
also gave	5
close fight	5
like manner	5
hector now	5
minerva shed	5
now going	5
still furious	5
yet know	5
native land	5
high spirit	5
trojans came	5
spring forward	5
fair women	5
mixed wine	4
noble father	4
amongst us	4
sweet wine	4
trusty comrade	4
may yet	4
got close	4
ulysses began	4
take thought	4
yet came	4
become meat	4
man go	4
might return	4
us set	4
covered cloister	4
neptune heard	4
seventh day	4
dearly loved	4
will win	4
women servants	4
two talents	4
two pieces	4
fair flesh	4
much fear	4
now bid	4
sorrowing bitterly	4
one may	4
find fault	4
spoke minerva	4
stone floor	4
knows neither	4
sacrifice twelve	4
men fighting	4
jove heard	4
came inside	4
golden throne	4
us now	4
men now	4
travelled much	4
whose son	4
eyes behold	4
firstling lambs	4
saw ulysses	4
trojan host	4
keep away	4
great web	4
lay stretched	4
whole house	4
mighty stream	4
put forth	4
towards heaven	4
raw meat	4
pure silver	4
name will	4
achaean argos	4
inner room	4
now got	4
dead man	4
telemachus spoke	4
without hitting	4
taking aim	4
will honour	4
darling son	4
bad luck	4
bear away	4
decorated seat	4
ill treating	4
made ulysses	4
long spear	4
whole time	4
achaeans came	4
without even	4
deep slumber	4
women joined	4
needs must	4
offered hecatombs	4
ashen spears	4
may never	4
trojan chieftains	4
men will	4
ulysses got	4
may offer	4
sent two	4
son orestes	4
sit still	4
comes back	4
fair city	4
let drive	4
dead bodies	4
lycians saying	4
lame god	4
whereas now	4
pale fear	4
will accept	4
six days	4
fought desperately	4
breathing time	4
go round	4
alcinous said	4
kept pouring	4
tenth night	4
face upwards	4
poured wine	4
man whose	4
will look	4
minerva sent	4
still keeping	4
cunning vulcan	4
old merman	4
cubits long	4
us put	4
minerva made	4
brought hither	4
much wealth	4
see us	4
good clothes	4
far country	4
imposing presence	4
two fleet	4
visit us	4
ulysses ever	4
fear fell	4
mountain top	4
furiously angry	4
gleaming helmet	4
seat inlaid	4
grown old	4
will kill	4
ulysses took	4
salt water	4
one thing	4
night long	4
went ashore	4
minds whether	4
comes home	4
now came	4
people among	4
noble sons	4
whole night	4
dear sir	4
turned towards	4
groaned aloud	4
say whether	4
must see	4
sea side	4
will grant	4
fly like	4
take back	4
much troubled	4
ask questions	4
safe home	4
begin fighting	4
forthwith uprose	4
gold cup	4
two lions	4
long ere	4
made ready	4
whole plain	4
whole country	4
take nothing	4
neighbour saying	4
bring death	4
morning came	4
ten thousand	4
making moan	4
weary sea	4
others go	4
nothing like	4
seeing jove	4
fresh strength	4
already eager	4
let another	4
iris went	4
quite close	4
noble birth	4
mighty hercules	4
might take	4
come close	4
hide nothing	4
stood round	4
men together	4
blessed boon	4
enough already	4
rushed towards	4
alone left	4
glittering golden	4
two sides	4
now save	4
footstool also	4
ox hide	4
agamemnon struck	4
spoke fondly	4
achilles said	4
killing one	4
stand forward	4
bed time	4
spear stuck	4
now see	4
neither side	4
left hand	4
deep sigh	4
husband till	4
god must	4
penelope answered	4
high oak	4
may give	4
horses round	4
quite young	4
behind us	4
river axius	4
keen eyes	4
thick brushwood	4
quite easily	4
shall leave	4
gods know	4
will listen	4
arms towards	4
jagged stone	4
alexandrus husband	4
must now	4
flew open	4
whose sake	4
people fell	4
twelve ships	4
great sorrow	4
will leave	4
sprang forth	4
made haste	4
terrible man	4
darkness veiled	4
now indeed	4
end wall	4
heart beats	4
poor unhappy	4
brought back	4
shall get	4
dare face	4
yet alive	4
escape destruction	4
will protect	4
much gold	4
may find	4
never let	4
lay hold	4
heaven sent	4
thick darkness	4
hundred men	4
took away	4
mighty diomed	4
burnt sacrifice	4
minerva bethought	4
came forward	4
achilles saw	4
olive oil	4
fall thick	4
girl briseis	4
foremost fighters	4
said penelope	4
sail home	4
tell achilles	4
richly decorated	4
fight achilles	4
will therefore	4
may reasonably	4
fertile land	4
infinite trouble	4
whole truth	4
danaan warriors	4
echoing gatehouse	4
will happen	4
morning rosy	4
cry aloud	4
hector sprang	4
comely head	4
dear mother	4
done us	4
great stones	4
shall devour	4
brawny hand	4
loving venus	4
thrinacian island	4
never grow	4
whole place	4
give satisfaction	4
take part	4
make straight	4
might hear	4
topmost crests	4
wicked wife	4
just like	4
ship fast	4
took heart	4
press forward	4
mighty warrior	4
will hurl	4
take offence	4
achilles took	4
also give	4
diomed answered	4
also put	4
great stone	4
came round	4
man though	4
son antilochus	4
growing old	4
much good	4
river selleis	4
might drink	4
people together	4
trojans may	4
soaring eagle	4
drink offering	4
ulysses leading	4
ulysses left	4
bid us	4
put away	4
stood upright	4
come outside	4
year round	4
us draw	4
shed tears	4
yet saw	4
hatching mischief	4
fleet achilles	4
fierce mars	4
men servants	4
put together	4
will let	4
running away	4
spoke saying	4
way rejoicing	4
way till	4
jove may	4
old nestor	4
will hide	4
young one	4
valiant warrior	4
father ulysses	4
blind look	4
room looking	4
proud trojans	4
divided counsels	4
come within	4
servants poured	4
furthermore let	4
whole twelve	4
middle argos	4
men call	4
get dinner	4
property without	4
jove said	4
great wall	4
ulysses rose	4
disposed towards	4
attack us	4
holy hecatomb	4
without saying	4
third man	4
pelian ash	4
hear anything	4
evil deeds	4
good stout	4
lying dead	4
looking fellow	4
will set	4
arrow struck	4
men stood	4
priam answered	4
join us	4
like two	4
find one	4
great goddess	4
swerved aside	4
singularly fleet	4
good heavens	4
got ready	4
ill deeds	4
sails aloft	4
one whose	4
three hundred	4
shall stay	4
night comes	4
blood came	4
good fortune	4
brave comrades	4
shall fight	4
sent us	4
made trial	4
will neither	4
keep quiet	4
name every	4
offered many	4
utmost speed	4
spoke fiercely	3
help us	3
dark sea	3
son hercules	3
exceedingly angry	3
make drink	3
looked like	3
others went	3
wine also	3
queen arete	3
two champions	3
will ulysses	3
might go	3
excellent dinner	3
two hosts	3
comes crashing	3
arms around	3
savage creature	3
stand upright	3
may sail	3
solemn promise	3
apollo heard	3
naiad nymph	3
set foot	3
return alive	3
go near	3
people will	3
sprang furiously	3
will break	3
ten years	3
shall hardly	3
gave victory	3
eurymachus son	3
quite different	3
went within	3
wild beast	3
aim first	3
another went	3
back much	3
every good	3
now driven	3
eyes towards	3
saturn sent	3
shield rang	3
river satnioeis	3
rivers run	3
hold back	3
home quickly	3
making drink	3
agamemnon said	3
achilles slew	3
ulysses followed	3
turning round	3
hector took	3
trojans advanced	3
fourth year	3
gleaming shield	3
leave priam	3
men let	3
saying pleased	3
without leaving	3
fierce fight	3
ulysses now	3
two hands	3
greatly fear	3
shall lie	3
dead calm	3
began dragging	3
deadly arrows	3
goat skin	3
trojans saw	3
blue water	3
well filled	3
two lambs	3
eurypylus son	3
men also	3
till dawn	3
theoclymenus said	3
offered prizes	3
much else	3
diomed made	3
grey hair	3
will try	3
topmost ridges	3
reach home	3
warm bath	3
earth groaned	3
half way	3
domed room	3
certain token	3
growing land	3
ulysses gave	3
fell just	3
help ulysses	3
may drive	3
looked round	3
turn round	3
get near	3
us shall	3
apollo made	3
tomorrow morning	3
much sorrow	3
fell face	3
may meet	3
best young	3
perish unrecorded	3
us much	3
whole story	3
will live	3
well made	3
redoubtable daughter	3
first thing	3
dispersed us	3
set stakes	3
back helen	3
achilles like	3
helen went	3
doubt whether	3
bring sorrow	3
good cloak	3
thesprotian ship	3
men agamemnon	3
got past	3
deep water	3
twelve axes	3
good woman	3
many days	3
old king	3
broad waters	3
night sprang	3
jove gives	3
screamed aloud	3
golden sceptre	3
fragrant store	3
vouchsafe us	3
day ulysses	3
something else	3
much care	3
apollo beat	3
sad tale	3
head till	3
many ships	3
fight hector	3
man went	3
let none	3
answered juno	3
shall live	3
mortal woman	3
corn lands	3
golden cup	3
three sons	3
spear passed	3
may hear	3
wild goats	3
polydamas son	3
famed lame	3
set battle	3
meantime ulysses	3
murder telemachus	3
will eat	3
might get	3
public opinion	3
found ulysses	3
like ulysses	3
first time	3
made signs	3
good care	3
hard matter	3
many dead	3
pressed forward	3
bring us	3
kept looking	3
olive wood	3
make friends	3
lay dying	3
river alpheus	3
achilles slay	3
well know	3
dear friends	3
may think	3
saturn made	3
many sheep	3
bowels came	3
however strong	3
drove straight	3
morning meal	3
one turn	3
hector said	3
throwing discs	3
go along	3
speak well	3
mother will	3
bring matters	3
supper ready	3
great tambour	3
meanwhile hector	3
prayed saying	3
till heaven	3
old bull	3
spear tore	3
sweat rained	3
trojan camp	3
somebody else	3
chief ruler	3
barren heifer	3
eleven cubits	3
sheer folly	3
kills every	3
took counsel	3
answered nestor	3
may hardly	3
greatly grieved	3
hector will	3
juno answered	3
still greater	3
fool may	3
good red	3
great olympus	3
get hold	3
others also	3
hand seized	3
place will	3
bringing fire	3
soon fall	3
great son	3
start home	3
daily duties	3
shall escape	3
never heard	3
strong man	3
others will	3
fine needlework	3
minerva endowed	3
round shields	3
old days	3
never shall	3
whole month	3
fell groaning	3
black wine	3
seals men	3
will pay	3
two days	3
will fling	3
comfortable bed	3
fair body	3
said telemachus	3
bedizened steeds	3
began talking	3
back now	3
infant son	3
great king	3
gods came	3
long spears	3
full grown	3
mortal mould	3
great fire	3
consummate skill	3
none might	3
edged axes	3
might stay	3
noble patroclus	3
also rose	3
awful voice	3
jove sends	3
one long	3
rich land	3
also brought	3
strong ilius	3
high throne	3
us two	3
came hither	3
whereon ulysses	3
without ever	3
eumaeus answered	3
iris fleet	3
meanwhile achilles	3
shall ever	3
room upstairs	3
every limb	3
shall either	3
hector made	3
kill hector	3
every direction	3
seven tripods	3
done supper	3
us also	3
long shall	3
neither rich	3
indeed dead	3
enormous piece	3
valiant soldier	3
telemachus took	3
also took	3
iron courage	3
whereas achilles	3
lie awake	3
never welcome	3
soon rue	3
goodly greaves	3
shield stayed	3
quite clean	3
lion springs	3
cold water	3
waiting till	3
yet bring	3
level ground	3
twenty days	3
limbs failed	3
hero among	3
house along	3
hewn stone	3
may send	3
ulysses smiled	3
spear flew	3
deadly place	3
diomed looked	3
extreme left	3
lovely leto	3
excellent person	3
without either	3
whole day	3
young achaeans	3
now close	3
see menelaus	3
king echetus	3
devise evil	3
horses will	3
running towards	3
came pouring	3
others shall	3
presently fall	3
lying dream	3
good service	3
going right	3
true comrade	3
holding aloof	3
fingered morn	3
body home	3
wild fig	3
call ajax	3
will first	3
cruel jove	3
unhappy man	3
false aegisthus	3
fighting round	3
place among	3
soon make	3
funeral pyre	3
may win	3
neither man	3
day waxed	3
mother went	3
penelope came	3
long enough	3
thetis answered	3
now brought	3
take pity	3
stock still	3
fleet ajax	3
horned cattle	3
kept back	3
yet got	3
now fight	3
shall find	3
pretty close	3
must leave	3
ulysses slept	3
reasonably expect	3
large ransom	3
quick passage	3
terrible spear	3
god hyperion	3
flew away	3
twentieth year	3
may stay	3
meanwhile menelaus	3
menelaus answered	3
great store	3
juno said	3
trojans saying	3
may fear	3
smaller pieces	3
great multitudes	3
man named	3
agamemnon will	3
thirty ships	3
ulysses stood	3
must find	3
ere now	3
bearded lion	3
two wild	3
two nights	3
eyed daughter	3
rather die	3
due funeral	3
morning comes	3
wife penelope	3
people gathered	3
first take	3
criers round	3
said jove	3
go outside	3
homeward journey	3
ground till	3
ever truest	3
golden wand	3
look taller	3
will know	3
another twelve	3
fled panic	3
everlasting bliss	3
put fresh	3
magnificent presents	3
keep watch	3
shall soon	3
gathered thereon	3
eyes away	3
lay aside	3
go forth	3
gave us	3
great saturn	3
bring wood	3
dead though	3
thoas son	3
goddess minerva	3
quite still	3
shall turn	3
go hard	3
alexandrus answered	3
neither god	3
red rugs	3
ulysses saw	3
yellow hair	3
man might	3
will pursue	3
fight valiant	3
youngest daughter	3
open space	3
get killed	3
great many	3
taken heart	3
achaean ranks	3
night will	3
epeans rule	3
let achilles	3
sat beside	3
fear lest	3
ulysses might	3
great river	3
also call	3
sturdy thigh	3
presently said	3
ever welcome	3
great deeds	3
one time	3
golden sandals	3
clean cloak	3
win glory	3
man ever	3
now pay	3
take us	3
seven years	3
without letting	3
door post	3
fell sprawling	3
never saw	3
every nerve	3
came thirty	3
things will	3
juno smiled	3
single handed	3
fight raged	3
might live	3
starry heaven	3
years old	3
jove counselled	3
sheer exhaustion	3
took telemachus	3
ever getting	3
give glory	3
maids came	3
us rather	3
like children	3
men fall	3
may well	3
telemachus followed	3
painful art	3
exchange presents	3
inner gateway	3
mother bore	3
took mars	3
warm water	3
ask nestor	3
trap door	3
greater part	3
rose also	3
join battle	3
dogs went	3
heavenly beings	3
full many	3
tears fell	3
now let	3
fight even	3
lawful husband	3
goddess diana	3
achaeans went	3
king vulcan	3
good omen	3
make war	3
horses back	3
argives raised	3
agamemnon caught	3
hair plumes	3
young friend	3
us obey	3
set fire	3
woe betides	3
took great	3
glad enough	3
drink whenever	3
first person	3
speak fairly	3
listen therefore	3
great reward	3
spread coverlets	3
dear nurse	3
may set	3
short work	3
three days	3
will swear	3
much evil	3
surely jove	3
gone home	3
nine long	3
came home	3
many prizes	3
may look	3
will shortly	3
taken prisoner	3
suitors bit	3
ulysses killed	3
go forward	3
godlike hero	3
due honour	3
ever seen	3
ship went	3
drink telemachus	3
us think	3
let jove	3
saying anything	3
large flock	3
will dare	3
aeneas answered	3
us take	3
straitly saying	3
ulysses sat	3
way back	3
mercury went	3
gods call	3
furious passion	3
mixing wine	3
came fifty	3
main land	3
counsels among	3
home without	3
face downwards	3
may grieve	3
grasped two	3
time wore	3
takes thought	3
immortal jove	3
two mighty	3
many trojans	3
nine men	3
old beggar	3
never seen	3
let lie	3
never went	3
hero laertes	3
also made	3
goddess went	3
fight anew	3
arrow pierced	3
mighty bow	3
gave way	3
old rags	3
black ewe	3
marriage gifts	3
golden urn	3
well away	3
left us	3
son sarpedon	3
struck achilles	3
awful goddess	3
juno sent	3
nine whole	3
diomed killed	3
going home	3
actual fighting	3
last come	3
whereon telemachus	3
round ulysses	3
good quality	3
wind blowing	3
still kept	3
dark beneath	3
short shrift	3
kill us	3
turn pale	3
spoke among	3
foremost men	3
among mortal	3
glaucus son	3
great triumph	3
till night	3
took comfort	3
idomeneus answered	3
hand till	3
coming near	3
trojan men	3
menelaus saw	3
long delayed	3
sorry wedding	3
let ajax	3
keeping helen	3
brave squire	3
king idomeneus	3
huge ajax	3
stern fate	3
beautiful eyes	3
upper chamber	3
looking round	3
good harbour	3
gave every	3
find us	3
clotted gore	3
father will	3
killed every	3
needlework perish	3
last time	3
fat thigh	3
left shoulder	3
fierce lion	3
pisistratus said	3
lay groaning	3
windy ilius	3
poor ulysses	3
glad indeed	3
old friends	3
white bones	3
great cave	3
win still	3
chief man	3
still morning	3
longer divided	3
go among	3
armed juno	3
juno stayed	3
come round	3
inner part	3
sicel woman	3
yet will	3
long years	3
head fell	3
fig tree	3
august queen	3
will drive	3
replied minerva	3
may burn	3
grew dark	3
two shepherds	3
speed towards	3
man living	3
coming towards	3
two came	3
may happen	3
maids went	3
two redoubtable	3
now time	3
telemachus will	3
might fly	3
fell dead	3
cunning goddess	3
till now	3
mighty shield	3
heaven help	3
good ones	3
mountain forest	3
trojan warriors	3
night fell	3
stay till	3
battle rose	3
dirty old	3
gods loved	3
achaeans instantly	3
one whit	3
little season	3
pure water	3
men put	3
made lamentation	3
much wrong	3
foremost man	3
men came	3
eumaeus went	3
aeaean island	3
clean shirt	3
spear sped	3
knight phoenix	3
city walls	3
gleamed like	3
woman eurynome	3
see whither	3
still lying	3
lying tale	3
take food	3
fierce winds	3
troy far	3
fell round	3
will run	3
better let	3
offering hecatombs	3
road side	3
telemachus saw	3
fine gold	3
country round	3
mighty husband	3
night falls	3
ajax struck	3
hector marked	3
thereon minerva	3
poor creature	3
got within	3
now take	3
well wrought	3
bad thing	3
much wood	3
distant land	3
make one	3
sacked lyrnessus	3
whose house	3
gleaming helmets	3
immortal steeds	3
escape death	3
just now	3
alone among	3
handsomest man	3
painless shafts	3
sad fate	3
sweet slumber	3
therefore towards	3
two winds	3
reached many	3
home safely	3
ever will	3
many cities	3
will towards	3
many people	3
still hold	3
good friends	3
telemachus came	3
quiver full	3
without delay	3
telamon answered	3
rich plain	3
take away	3
third day	3
send us	3
miserable old	3
immortal raiment	3
anything else	3
heaven decide	3
came away	3
thetis wept	3
looked sternly	3
two thighs	3
hand within	3
fierce war	3
heaven forbid	3
felt sure	3
tore away	3
now leave	3
even better	3
fall beneath	3
men say	3
bore away	3
vouchsafe victory	3
brave soldier	3
god set	2
got safely	2
white tusks	2
making merry	2
make offering	2
ships even	2
prayed aloud	2
stood stock	2
back rejoicing	2
one shall	2
many men	2
ulysses sit	2
valleyed ida	2
horses towards	2
servants came	2
tempts people	2
advantageous offer	2
speed round	2
put telemachus	2
amber beads	2
two alone	2
huge orion	2
trees grew	2
avoid one	2
swineherd now	2
find pandarus	2
neither right	2
carefully aeaean	2
meges son	2
put strength	2
bounded forward	2
befall us	2
seat near	2
one voice	2
burnt offerings	2
trojans dared	2
speeding towards	2
even mix	2
heaven put	2
drink wine	2
force ajax	2
sweating steeds	2
gallops gloriously	2
polydamas went	2
offer sacrifices	2
looking everywhere	2
plague us	2
make sure	2
even king	2
every hope	2
atreus rose	2
fell quivering	2
hearts took	2
lusty youths	2
others remain	2
studied art	2
comes thundering	2
might say	2
last menelaus	2
wind blew	2
king helenus	2
ships rang	2
pressing forward	2
eldest son	2
brave companions	2
minerva will	2
armour still	2
twelve brood	2
went wondering	2
therefore go	2
golden girdle	2
dread erinyes	2
crew found	2
city will	2
lying low	2
maids also	2
eyes glare	2
good make	2
must give	2
cry sprang	2
achilles dealt	2
trojans might	2
rays pierce	2
crew together	2
us sail	2
serviceable suggestions	2
first aimed	2
bravest man	2
lay low	2
ulysses lay	2
took two	2
dawn rose	2
adamas son	2
fair house	2
set refreshment	2
slain yet	2
message may	2
trojans fled	2
ravening wolves	2
chieftains killed	2
argives went	2
danaans still	2
bringing back	2
general engagement	2
patroclus fell	2
guardian angel	2
another arrow	2
neptune spoke	2
every way	2
goodly offerings	2
lycian apollo	2
shameless self	2
ulysses set	2
remain inside	2
will play	2
comes tearing	2
others passed	2
neither go	2
dolops son	2
heaven vouchsafe	2
sons born	2
killed agamemnon	2
seven talents	2
neither shall	2
