verb	frequency
chased	12
completed	12
dared	12
drank	12
excel	12
feel	12
fixed	12
fling	12
groaned	12
heaped	12
heeded	12
honour	12
open	12
question	12
rained	12
returning	12
sang	12
strode	12
tear	12
tearing	12
trust	12
vanquished	12
agreed	11
answer	11
arm	11
attacked	11
bethought	11
blew	11
bowed	11
breaking	11
charged	11
cutting	11
dragged	11
enjoy	11
fastened	11
feeding	11
fill	11
finding	11
grieved	11
hitting	11
lamenting	11
laughing	11
loose	11
mind	11
nodded	11
planted	11
poised	11
promise	11
protected	11
rise	11
rouse	11
sacrificed	11
sank	11
sending	11
snatched	11
speed	11
stained	11
stands	11
started	11
stationed	11
studded	11
torn	11
touched	11
treating	11
turns	11
urging	11
wants	11
work	11
according	10
angered	10
assembled	10
assented	10
beating	10
befallen	10
beseech	10
bidden	10
blow	10
breathed	10
build	10
buried	10
burnt	10
catch	10
check	10
diomed	10
divide	10
donned	10
drunk	10
encircling	10
falls	10
feasting	10
following	10
force	10
holds	10
inspired	10
loaded	10
looks	10
marked	10
means	10
nurse	10
passing	10
played	10
pleased	10
pointed	10
press	10
pursue	10
ranged	10
rejoiced	10
rest	10
runs	10
serve	10
singing	10
sits	10
thundering	10
venture	10
vouchsafes	10
wailing	10
woke	10
abide	9
attacking	9
avoided	9
befall	9
beg	9
ceased	9
clasped	9
clothed	9
counselled	9
crossed	9
delivered	9
doubt	9
drag	9
drinking	9
drop	9
enter	9
escort	9
footed	9
fountained	9
fulfilled	9
gleamed	9
grows	9
guided	9
hearing	9
hemmed	9
hovered	9
hurl	9
last	9
leaves	9
manage	9
minded	9
mount	9
name	9
offering	9
ordered	9
pitied	9
play	9
playing	9
plunged	9
pour	9
pressing	9
punish	9
quarrelling	9
receive	9
reigned	9
rejoice	9
respected	9
rob	9
rolling	9
ruled	9
scheming	9
showing	9
shut	9
spreading	9
springing	9
staying	9
stop	9
support	9
telemachus	9
tells	9
touch	9
travelled	9
trembled	9
vaunt	9
washing	9
add	8
admired	8
approved	8
begins	8
begun	8
bids	8
bless	8
brandishing	8
camped	8
carries	8
caused	8
clutched	8
complain	8
consult	8
crashing	8
daring	8
dashed	8
dug	8
enamoured	8
end	8
entertained	8
excelled	8
free	8
gets	8
glared	8
guard	8
handled	8
hanging	8
hated	8
hurrying	8
kills	8
lain	8
laying	8
listened	8
losing	8
managed	8
milked	8
mix	8
pouring	8
proceed	8
provide	8
raising	8
reaches	8
reared	8
rent	8
retreat	8
risen	8
routed	8
sallied	8
settled	8
sounding	8
striking	8
telling	8
wake	8
wandering	8
watching	8
wedded	8
accomplished	7
aiming	7
anoint	7
astonished	7
attended	7
awarded	7
begged	7
breaks	7
challenge	7
change	7
cloak	7
compare	7
cook	7
deceive	7
decide	7
decreed	7
deliver	7
disguised	7
disposed	7
dived	7
doubted	7
dread	7
ended	7
entertain	7
facing	7
fain	7
fated	7
fetched	7
fights	7
finish	7
flashed	7
flayed	7
flow	7
glittering	7
granted	7
hang	7
hatched	7
heal	7
heed	7
him--	7
kindle	7
kindled	7
landed	7
longing	7
loving	7
mentor	7
overtake	7
plotting	7
possessed	7
prosper	7
pulled	7
ransom	7
reaching	7
recognised	7
respect	7
ringing	7
roasted	7
row	7
rule	7
scared	7
scowled	7
sell	7
share	7
showered	7
shrink	7
staid	7
steal	7
steeds	7
stirred	7
strung	7
succeed	7
surpass	7
surrounded	7
swept	7
swim	7
tasted	7
taught	7
thinks	7
thundered	7
trouble	7
undone	7
use	7
valued	7
waste	7
wasted	7
wield	7
witness	7
worsted	7
yoke	7
applauded	6
beats	6
begot	6
begrimed	6
bent	6
bestrode	6
bit	6
blinded	6
blowing	6
brings	6
brooding	6
burnished	6
burst	6
caressed	6
celebrate	6
chase	6
chasing	6
checked	6
claim	6
concerning	6
continue	6
crouching	6
daunted	6
dealt	6
decorated	6
destroyed	6
dishonoured	6
draws	6
enjoyed	6
exhort	6
exhorting	6
faced	6
fashioned	6
fearing	6
feast	6
fenced	6
flies	6
gasping	6
glut	6
hand	6
harm	6
helped	6
hoping	6
hurt	6
implore	6
knowing	6
leaned	6
lifting	6
light	6
marched	6
mark	6
needs	6
nursed	6
parted	6
pent	6
perceived	6
persist	6
persuaded	6
prepared	6
prevail	6
prevented	6
provoke	6
quaked	6
quivering	6
recognise	6
refrain	6
rejoicing	6
restrain	6
roared	6
sacking	6
sacrificing	6
say--	6
screamed	6
screaming	6
shun	6
slaughtered	6
snatch	6
soaring	6
sold	6
sorrowing	6
sought	6
spent	6
spoiled	6
springs	6
sprinkling	6
starred	6
start	6
stripping	6
struggling	6
suffering	6
suspected	6
swerved	6
swoops	6
tended	6
threatened	6
unyoked	6
vanquish	6
veiled	6
wagged	6
watch	6
watched	6
ween	6
welcome	6
wielding	6
withdrew	6
withstand	6
wondering	6
wooing	6
appease	5
appeased	5
arming	5
arrayed	5
assured	5
awoke	5
battered	5
behaving	5
behold	5
bespattered	5
bitten	5
blaze	5
boast	5
boiling	5
bought	5
bow	5
brandished	5
busied	5
cause	5
challenged	5
charging	5
chide	5
climbed	5
compete	5
conceived	5
conduct	5
conveyed	5
cooked	5
covering	5
crouched	5
crushed	5
declared	5
deem	5
desire	5
desired	5
direct	5
disgrace	5
dispersed	5
displeased	5
dried	5
drives	5
drugged	5
echoing	5
edged	5
embroidered	5
enjoying	5
enshrouded	5
entreat	5
expecting	5
exploit	5
fainting	5
fared	5
fast	5
felled	5
finds	5
flowed	5
folded	5
follows	5
fooled	5
fulfil	5
glaring	5
grazed	5
grinding	5
gripped	5
guide	5
gushing	5
hacked	5
happens	5
harassed	5
hatching	5
headed	5
hunting	5
insult	5
insulted	5
invite	5
jutting	5
kicked	5
lean	5
leaped	5
liked	5
load	5
meaning	5
missing	5
mourning	5
note	5
olympus	5
order	5
overhanging	5
overpowered	5
pleases	5
point	5
prays	5
proved	5
quailed	5
quarrel	5
quenched	5
rallied	5
reap	5
refused	5
reign	5
remains	5
remembered	5
requite	5
rescue	5
resolved	5
reviled	5
roar	5
rolled	5
rot	5
ruin	5
ruined	5
rushing	5
satisfied	5
scattered	5
scold	5
scolded	5
seek	5
seize	5
seizing	5
shamed	5
sheltered	5
shield	5
shone	5
shooting	5
shows	5
side	5
slacken	5
slaying	5
spear	5
speeding	5
starting	5
stooped	5
stopped	5
strive	5
stung	5
sucking	5
supporting	5
suspect	5
swallow	5
sworn	5
taste	5
taunt	5
thou	5
tossed	5
travel	5
trembling	5
upbraided	5
vanished	5
vex	5
wasting	5
watches	5
watered	5
weighed	5
welled	5
willed	5
wiped	5
wonder	5
woven	5
wrecked	5
wretch	5
yearned	5
yielded	5
''s	4
admire	4
advanced	4
afforded	4
alarmed	4
allow	4
allowed	4
asks	4
assumed	4
attending	4
avenged	4
await	4
awaiting	4
awaits	4
balanced	4
becomes	4
bedizened	4
bedrabbled	4
begotten	4
beguiled	4
bellowing	4
belonging	4
bend	4
bending	4
bossed	4
bounded	4
brag	4
breathing	4
breed	4
brooded	4
buy	4
cares	4
changing	4
charmed	4
clasp	4
clean	4
cleansed	4
clouded	4
comfort	4
committed	4
compass	4
concealed	4
conducted	4
considering	4
consumed	4
continued	4
courting	4
crested	4
crowned	4
dance	4
dancing	4
darting	4
dash	4
dealing	4
declare	4
defended	4
defending	4
delighted	4
descended	4
deserted	4
destroying	4
detained	4
determine	4
devised	4
dine	4
discover	4
dishonouring	4
dismissed	4
drowned	4
dwells	4
eased	4
eddying	4
encouraged	4
encouraging	4
endure	4
engage	4
ere	4
established	4
expected	4
explain	4
exulting	4
fails	4
fare	4
faring	4
favoured	4
fire	4
firstling	4
flinging	4
forbidden	4
forgive	4
form	4
freed	4
further	4
gainsaid	4
gathering	4
glistened	4
gnawing	4
grieves	4
hack	4
handle	4
hastened	4
haunt	4
heading	4
healed	4
hears	4
herding	4
hewn	4
hides	4
horned	4
imploring	4
imposing	4
incensed	4
incline	4
infuriated	4
insist	4
knocked	4
lays	4
lighted	4
likes	4
longed	4
lured	4
measured	4
meets	4
moored	4
murder	4
muttered	4
nearing	4
omened	4
oppressed	4
packed	4
perched	4
permit	4
pick	4
pity	4
place	4
plague	4
pledged	4
ploughed	4
plunder	4
preparing	4
promising	4
propose	4
propped	4
pull	4
pulling	4
pursued	4
quarrelled	4
range	4
ranks	4
read	4
rebuke	4
recall	4
reconnoitre	4
recover	4
reeled	4
refreshed	4
relieve	4
remind	4
rescued	4
restore	4
retreating	4
returns	4
rowing	4
rules	4
scare	4
serried	4
severed	4
shewed	4
shines	4
shrouded	4
shudder	4
slung	4
smite	4
soiled	4
spared	4
spin	4
spitted	4
split	4
sprawling	4
sprinkled	4
sprung	4
starving	4
stepped	4
stir	4
stolen	4
stowed	4
stretching	4
suckled	4
suited	4
surpassing	4
swam	4
talked	4
thirsting	4
tied	4
tilled	4
trusted	4
trusting	4
undertake	4
unloose	4
upbraid	4
vaunting	4
vie	4
walk	4
wander	4
wandered	4
warn	4
wearing	4
welcome--	4
well-	4
wheeled	4
whirling	4
wielded	4
wields	4
wished	4
wishes	4
woo	4
wrap	4
writhing	4
yielding	4
abides	3
abode	3
achieved	3
added	3
adorned	3
advising	3
aggrieved	3
aim	3
ajax	3
anointing	3
approaching	3
assail	3
bark	3
beached	3
bears	3
befell	3
befriend	3
befriends	3
begat	3
bellowed	3
besmirched	3
bespangled	3
bestride	3
betides	3
binding	3
bite	3
bleating	3
bleeding	3
blows	3
boded	3
bounding	3
breeds	3
brewing	3
browed	3
bruised	3
bustling	3
busy	3
catching	3
champing	3
charm	3
chattering	3
cheer	3
chided	3
chooses	3
chopping	3
clashed	3
climb	3
climbing	3
clotted	3
comforted	3
congratulate	3
considered	3
consume	3
contending	3
contented	3
contradicts	3
cooking	3
cost	3
counted	3
cowering	3
cracked	3
crept	3
crowded	3
crushing	3
cunning	3
cured	3
danced	3
deals	3
dear	3
declares	3
delayed	3
denied	3
departed	3
deprived	3
despise	3
determined	3
detest	3
devouring	3
dies	3
discomfited	3
disgraced	3
dismounted	3
disobey	3
dividing	3
drags	3
drenched	3
drifted	3
dyed	3
earn	3
egged	3
encamped	3
enclosed	3
encourage	3
endow	3
enraged	3
enriched	3
enshroud	3
enthralled	3
erewhile	3
escorted	3
essay	3
exhorted	3
explained	3
famed	3
filling	3
fills	3
fixing	3
flashing	3
flitted	3
forbid	3
foretell	3
forgo	3
forgot	3
forthwith	3
founded	3
freighted	3
frowning	3
furled	3
gainsay	3
gibing	3
gild	3
glad--	3
gladdened	3
goddesses	3
gorging	3
grants	3
grasp	3
grasping	3
graze	3
ground	3
grudged	3
halted	3
hanged	3
happening	3
hasting	3
hates	3
head	3
heap	3
heaping	3
hearted	3
heaved	3
hector	3
hindering	3
hissed	3
hoisted	3
hound	3
huddle	3
huddled	3
hug	3
hunt	3
implored	3
incite	3
indulging	3
inflict	3
infused	3
inherit	3
insisted	3
interrupted	3
invited	3
jutted	3
knock	3
labour	3
lag	3
lame	3
lamented	3
land	3
lash	3
lashes	3
lasted	3
leaping	3
lets	3
limping	3
lined	3
lord	3
lording	3
loves	3
maddened	3
marries	3
marshalled	3
marvel	3
meeting	3
mend	3
misconducted	3
mocking	3
neglecting	3
nodding	3
noted	3
nursing	3
offended	3
opening	3
ordained	3
overheard	3
overshadow	3
overshadowed	3
overthrew	3
overthrown	3
overwhelmed	3
owing	3
owned	3
pack	3
pained	3
part	3
paved	3
pell-	3
penned	3
perform	3
plied	3
plot	3
plunge	3
plying	3
ponder	3
pondering	3
present	3
presents	3
preventing	3
projecting	3
prophesied	3
propitiate	3
proves	3
punished	3
punishes	3
purify	3
puts	3
quells	3
quench	3
rally	3
ravaged	3
reconciled	3
reddened	3
reft	3
reigning	3
relieved	3
removing	3
rend	3
reproach	3
resounded	3
resting	3
restored	3
rests	3
retired	3
revealed	3
revenged	3
roasting	3
rotted	3
rowed	3
rush	3
said--	3
sailing	3
sallies	3
scale	3
scaled	3
scatter	3
scoured	3
seals	3
searching	3
seduced	3
seethed	3
sets	3
shame	3
shamefaced	3
sharpened	3
shelter	3
shift	3
shirking	3
shout	3
shrank	3
sin	3
skinned	3
sleeps	3
slipped	3
smashed	3
smiling	3
smirched	3
smiting	3
sound	3
spinning	3
spirited	3
spoil	3
spoiling	3
spun	3
spur	3
spurred	3
steeped	3
stick	3
stirring	3
stole	3
strained	3
streams	3
stretch	3
stride	3
striding	3
stringing	3
striving	3
studied	3
submit	3
supported	3
swarm	3
swayed	3
swimming	3
tempt	3
thronged	3
throws	3
tossing	3
trained	3
triumph	3
troubled	3
tug	3
tumbled	3
unburied	3
undid	3
unman	3
unpick	3
using	3
valour	3
versed	3
view	3
wage	3
wakes	3
walked	3
walks	3
waxed	3
weary	3
wended	3
whirled	3
widowed	3
wing	3
winged	3
wipe	3
wondered	3
wooded	3
worry	3
wounding	3
wrangle	3
wreathed	3
wreck	3
wronged	3
yearling	3
abounding	2
abounds	2
accompanied	2
accounted	2
acquainted	2
acquit	2
adding	2
addressing	2
advancing	2
affect	2
afflicted	2
afford	2
ails	2
all-	2
allotted	2
amuse	2
answering	2
appear	2
approach	2
arched	2
argue	2
arranged	2
array	2
assuage	2
attacks	2
availed	2
avoiding	2
back	2
backed	2
bandying	2
bared	2
barking	2
batten	2
battle	2
baulked	2
beach	2
beaked	2
bedight	2
begs	2
beguile	2
beguiling	2
behave	2
behaved	2
believed	2
bellied	2
bellow	2
belongs	2
beset	2
bestir	2
bestridden	2
betray	2
betrayed	2
beware	2
bide	2
blazing	2
blind	2
boasted	2
boasting	2
boasts	2
bodes	2
boils	2
bolted	2
bored	2
bounds	2
bowing	2
box	2
brawling	2
breathe	2
brimming	2
bristling	2
bubbling	2
budge	2
buffet	2
buffeted	2
building	2
bursting	2
cajoled	2
calls	2
camping	2
cared	2
catches	2
chafes	2
cheeked	2
chopped	2
claiming	2
clapped	2
clothe	2
clutching	2
commands	2
commit	2
compelled	2
complaining	2
conceive	2
conferred	2
confirm	2
consent	2
contain	2
contained	2
contains	2
contend	2
contended	2
continues	2
convened	2
convoyed	2
cooped	2
count	2
counting	2
cowardly	2
cower	2
crossing	2
crowd	2
crowding	2
curbed	2
cuts	2
darkened	2
daunt	2
deceiving	2
decked	2
dedicated	2
deeming	2
delight	2
delivers	2
deny	2
depart	2
desert	2
deserve	2
detaining	2
devise	2
devoured	2
dig	2
digging	2
dining	2
disabled	2
disdain	2
disfigured	2
dislike	2
dismay	2
disobeyed	2
displease	2
disport	2
disquieted	2
disregard	2
disturb	2
diverted	2
divides	2
divined	2
dock	2
doubting	2
dowered	2
drinks	2
drops	2
drying	2
dwellest	2
dwelling	2
earth-	2
ease	2
ebb	2
ebbed	2
echoed	2
elude	2
embarked	2
embroidering	2
enfolded	2
entangled	2
entertaining	2
enthroned	2
enveloped	2
escaping	2
escorting	2
essayed	2
examined	2
exchange	2
exchanged	2
exposed	2
failing	2
fainted	2
famished	2
fasten	2
fastening	2
fastens	2
favour	2
fawned	2
fears	2
fishing	2
fix	2
flaring	2
flattering	2
flay	2
fleetest	2
flinching	2
flit	2
floated	2
flocked	2
flows	2
foiled	2
folding	2
foot	2
forbade	2
forbids	2
foretold	2
forewarn	2
forgave	2
formed	2
foul	2
furs	2
gained	2
gazed	2
gilding	2
gird	2
gladden	2
glittered	2
glorified	2
glorify	2
go--	2
gods	2
gorges	2
govern	2
greaved	2
greet	2
greeted	2
grey-	2
grip	2
grovelled	2
grovelling	2
grudge	2
guarded	2
guess	2
hailed	2
haled	2
haling	2
hammering	2
handing	2
hangs	2
harass	2
harassing	2
haste	2
haunted	2
haunts	2
hearkened	2
heat	2
heaven-	2
heaving	2
heeding	2
hem	2
herald	2
hiding	2
hie	2
hied	2
hindered	2
hits	2
hobbled	2
homeward	2
hoped	2
hunched	2
hungering	2
hurry	2
impelled	2
imprisoned	2
inclines	2
increase	2
inflamed	2
informed	2
inhabited	2
insists	2
insulting	2
intended	2
invoked	2
joining	2
jumped	2
jut	2
kissing	2
lagging	2
lap	2
leap	2
learned	2
levelled	2
listens	2
luring	2
man	2
mangled	2
mares	2
marrying	2
match	2
matched	2
mated	2
me--	2
melanthius	2
melted	2
menaced	2
mine	2
minerva--	2
mingled	2
misconducting	2
mistake	2
murdered	2
murdering	2
needed	2
neglected	2
neighbouring	2
neighing	2
noised	2
noticed	2
nurses	2
nurtured	2
oared	2
obeying	2
obliged	2
observe	2
offend	2
oozing	2
ordering	2
outvie	2
outwit	2
overarching	2
overthrow	2
overtook	2
owe	2
own	2
owns	2
pacify	2
pains	2
panting	2
parched	2
peer	2
peopled	2
perceive	2
performed	2
performing	2
perishing	2
perjure	2
persuading	2
pester	2
pestering	2
piercing	2
piled	2
pillaged	2
pining	2
pitying	2
plagued	2
planed	2
plant	2
plead	2
pledging	2
plotted	2
plough	2
ploughing	2
plucked	2
plumed	2
plundered	2
pondered	2
prating	2
preceding	2
prevaricate	2
profit	2
prompted	2
propitiating	2
proposes	2
provided	2
prowling	2
purified	2
push	2
questioned	2
quickened	2
quiet	2
quiver	2
quivered	2
raid	2
raiding	2
railing	2
rate	2
rattled	2
ravening	2
raving	2
receiving	2
recked	2
reckon	2
reflecting	2
refusing	2
relied	2
rely	2
remaining	2
reminded	2
reminds	2
remounted	2
removed	2
repaid	2
require	2
rescuing	2
resemble	2
resolute	2
resounds	2
respecting	2
rested	2
restrained	2
retire	2
retreated	2
reveals	2
rid	2
ride	2
rings	2
ripped	2
rises	2
rival	2
roaring	2
roast	2
robbing	2
robs	2
roll	2
rotting	2
roving	2
rubbing	2
safeguard	2
salute	2
saluting	2
sate	2
satisfy	2
scalded	2
scampered	2
scandalised	2
scheme	2
schemed	2
scouring	2
scream	2
scud	2
seething	2
selling	2
settling	2
sever	2
severs	2
shake	2
shaken	2
shared	2
sheds	2
sheep-	2
shepherding	2
shifted	2
shine	2
shod	2
shunning	2
singed	2
singlehanded	2
sings	2
sinned	2
slack	2
slaughter	2
slinks	2
smart	2
smashing	2
smell	2
smitten	2
smothered	2
snapped	2
sneezed	2
soften	2
soothe	2
sparta	2
spilt	2
spite	2
spitting	2
spreads	2
spunging	2
spy	2
squealing	2
stabled	2
staggered	2
stalks	2
staring	2
starts	2
starved	2
stave	2
stays	2
steeled	2
stepping	2
stilled	2
storm	2
stouter	2
strain	2
straining	2
strains	2
strengthened	2
strewed	2
strikes	2
stumble	2
stunned	2
suffuse	2
summoned	2
sunk	2
supped	2
surged	2
sustained	2
swarmed	2
swarming	2
sweated	2
sweeps	2
swooped	2
swung	2
taloned	2
tarrying	2
taunted	2
taunting	2
tease	2
tempts	2
tending	2
thereon	2
threaten	2
threatening	2
thrice	2
throned	2
thunder	2
thunders	2
tiring	2
toiled	2
tongued	2
trampled	2
travelling	2
treats	2
trooping	2
tugged	2
tumbling	2
ulysses	2
uncovered	2
undoing	2
unfastened	2
unwaked	2
upbraiding	2
upraised	2
upset	2
urges	2
usurp	2
uttered	2
vaulted	2
vent	2
ventured	2
vexed	2
vied	2
violated	2
visited	2
visiting	2
vomited	2
vowed	2
vowing	2
vows	2
vying	2
waged	2
wager	2
waking	2
ward	2
warm	2
warned	2
warring	2
waster	2
wastes	2
water	2
water--	2
watering	2
waved	2
weave	2
weighs	2
welcomed	2
welling	2
wheeling	2
whistled	2
whiten	2
whitened	2
winning	2
winnowing	2
wishing	2
wit	2
withdraw	2
withdrawn	2
withstood	2
woman-	2
wooed	2
worshipped	2
wrangling	2
wrapping	2
wrestled	2
wring	2
writhed	2
written	2
abate	1
abated	1
abetting	1
abhorred	1
abiding	1
abuse	1
abusing	1
accepted	1
accomplish	1
accusing	1
aching	1
acknowledge	1
acting	1
action--	1
address	1
admiring	1
admit	1
adored	1
adorn	1
adorning	1
advised	1
adzed	1
aegis-	1
aesculapius	1
affected	1
afflicts	1
aged	1
agree	1
aid	1
aiding	1
ajaxes	1
alarm	1
alight	1
all--	1
allotting	1
allows	1
almighty	1
amassed	1
amaze	1
amends	1
amiss	1
anger	1
annoyed	1
answers	1
appeal	1
appears	1
applaud	1
applied	1
appointed	1
apprehend	1
approve	1
arching	1
argives	1
arose	1
arrive	1
arrived	1
ascend	1
assailed	1
assailing	1
assist	1
assure	1
assures	1
astonish	1
attempt	1
attempted	1
automedon--	1
avail	1
avenging	1
avert	1
avowed	1
awaited	1
awakes	1
away--	1
awe-	1
backing	1
ballooing	1
bane	1
baned	1
banish	1
banishes	1
banqueting	1
bargaining	1
baring	1
barred	1
bask	1
bate	1
bathe	1
bathed	1
battering	1
battled	1
bawling	1
baying	1
beaming	1
beautified	1
becalmed	1
beckoned	1
bedded	1
bedding	1
been--	1
befriended	1
beguiles	1
behead	1
beholding	1
behooves	1
beleaguered	1
beleaguering	1
believes	1
belong	1
belonged	1
bends	1
beseeching	1
bespatter	1
bestirred	1
bestriding	1
bestudded	1
bewail	1
bewailing	1
bewildered	1
bewitched	1
bibber	1
bided	1
birth	1
blamed	1
blaming	1
blazes	1
blear	1
bleared	1
bleeds	1
blinding	1
blood--	1
bloodstained	1
bloom	1
blotted	1
blown	1
blubbering	1
bode	1
boding	1
boil	1
boiled	1
bolting	1
boot--	1
boots	1
bore--	1
boring	1
bows	1
braggart	1
braggarts	1
bragging	1
branching	1
branded	1
brandish	1
braves	1
breaking--	1
breastplate	1
breathe--	1
breathes	1
breeding	1
bribed	1
bridging	1
bristled	1
broken-	1
bronzed	1
brother--	1
brothers-	1
bruise	1
bubbled	1
buckled	1
bud	1
buffeting	1
bunched	1
buoy	1
burdened	1
burying	1
bustled	1
busying	1
butcher	1
butchered	1
butchering	1
calmed	1
calydon--	1
came--	1
camp	1
capture	1
capturing	1
carding	1
career	1
caressing	1
caring	1
carried--	1
carve	1
carved	1
cataract	1
catch--	1
cattle--	1
celebrated	1
certify	1
chafe	1
challenges	1
champion	1
charms	1
charred	1
charring	1
chastise	1
chattered	1
chaunted	1
chaunting	1
cheeping	1
cheers	1
cherish	1
cherished	1
chieftains	1
children--	1
chirrup	1
choked	1
choking	1
choosing	1
chuckle	1
circled	1
circling	1
claimed	1
clamoured	1
clamouring	1
clapping	1
clattered	1
cleaned	1
cleaning	1
cleanse	1
cleanses	1
cleared	1
clears	1
cleaves	1
cling	1
clip	1
cloaks	1
clubbed	1
coated	1
collect	1
colonised	1
coloured	1
command	1
commend	1
commits	1
committing	1
commune	1
compassing	1
compel	1
competed	1
competing	1
compose	1
conceal	1
concede	1
concerns	1
conciliate	1
conclude	1
conditioned	1
confound	1
congratulated	1
conjecture	1
connected	1
conquering	1
consulted	1
consulting	1
consuming	1
containing	1
continuing	1
contribute	1
contrive	1
control	1
convene	1
conversing	1
convey	1
convince	1
convinced	1
convulsed	1
cooling	1
corn-	1
costs	1
could--	1
councillors	1
counsel	1
counselling	1
couples	1
