quadgram	frequency
sincerity and goodwill addressed	5
city of king priam	5
i will go to	5
darted from the topmost	5
hands of the achaeans	5
of the sea and	5
which of the gods	5
house of king alcinous	5
stuck in the ground	5
up to hector and	5
as they heard him	5
good things of what	5
for there is no	5
eager for the fray	5
when he was in	5
up with one another	5
stood by one of	5
all the arts of	5
he put on his	5
that nodded menacingly above	5
gods who live in	5
the gods who live	5
of men and women	5
when she reached the	5
of the fleet descendant	5
the son of priam	5
the round of the	5
the plain of troy	5
back to the ship	5
in wait for him	5
when they saw the	5
let there be no	5
and on the other	5
the danaans after the	5
ship on to the	5
daughter of great jove	5
shore of the sounding	5
have never yet been	5
ships into the water	5
in charge of the	5
in his own abode	5
of the river oceanus	5
be the first to	5
smote the grey sea	5
pages filled the mixing	5
the best man of	5
for there was no	5
the reins in his	5
this way and that	5
the house of the	5
he is in the	5
at the head of	5
he said to the	5
when they got there	5
with the sons of	5
when they were close	5
what i think will	5
to try and get	5
the argives on their	5
your father and mother	5
with wine and water	5
who and whence are	5
within the house of	5
bear it in mind	5
of heaven has been	5
of those who were	5
in front of his	5
reached the place where	5
him and struck him	5
even such was the	5
drew his sword and	5
a spear into his	5
be the bane of	5
were closed in darkness	5
of the sounding sea	5
one of those who	5
town councillors of the	5
stay where you are	5
the morning of the	5
as though it were	5
already dead and in	5
fall by the hand	5
one and all of	5
he stood up and	5
the line of the	5
as though he had	5
of the achaeans who	5
i should like to	5
danaans after the son	5
it is that is	5
will tell you the	5
the sons of autolycus	5
of ajax son of	5
councillors of the phaeacians	5
has so long been	5
she had thus spoken	5
as fast as he	5
he gave it to	5
heaven has been laid	5
on and they flew	5
they cut the rest	5
which the son of	5
and the land of	5
the son of jove	5
under cover of the	5
would that i had	5
the top of it	5
of your town and	5
led the way to	5
him by the hand	5
sea with their oars	5
in the hope that	5
a cloud of darkness	5
i think will be	5
then led the way	5
the spear went through	5
for the sake of	5
in the arms of	5
and make the best	5
let us be going	5
any of the other	5
and goodwill addressed them	5
swear to a solemn	5
for i do not	5
they had done praying	5
i am older and	5
his hands and his	5
was too quick for	5
at him as he	5
who has so long	5
the anger of the	5
the trench and the	5
both night and day	5
the ghosts of the	5
to strip him of	5
the life went out	5
just as he was	5
gods that live in	5
who were in the	5
other of the gods	5
brave son of menoetius	5
one of the gods	5
the sun set and	5
as fast as you	4
by the water side	4
by the waters of	4
kept no blind look	4
the descendant of aeacus	4
ship and to the	4
near to one another	4
had been a god	4
supporting the roof of	4
no matter how much	4
smote him with his	4
see if he could	4
the bitterness of his	4
i want to see	4
of bread and wine	4
to set a large	4
for them to wash	4
who had been killed	4
she reached the suitors	4
the vault of heaven	4
he wrought also a	4
man of all the	4
took her hand in	4
they went to the	4
see the light of	4
went down and it	4
he caught hold of	4
that he would not	4
he it was that	4
that suited his hands	4
ulysses and his son	4
upon the light of	4
at him with a	4
any one of them	4
the armour of the	4
and anointed him with	4
it round after giving	4
to be able to	4
in the end i	4
long before any one	4
took his place in	4
joined in her lament	4
sprang from his seat	4
he was going to	4
stayed where he was	4
through the wall and	4
there was no man	4
the room that was	4
the trojans in the	4
ships into the sea	4
he went among the	4
and went on to	4
upper servant brought them	4
the ships in the	4
put an end to	4
the hand of patroclus	4
first to break their	4
as he was springing	4
and in a moment	4
child of morning rosy	4
he was when he	4
the chiefs from all	4
what was going on	4
why do you not	4
lest the achaeans should	4
maids in the house	4
many a brave man	4
them from the chariot	4
maid servant then brought	4
the fertile land of	4
put on his shirt	4
was clouded with care	4
all of them in	4
nor is there any	4
to sing to them	4
but i would not	4
tramp as of a	4
bound his sandals on	4
water over the hands	4
in an inner room	4
it best to go	4
enjoyed the boon of	4
of the weary sea	4
he came to the	4
the mixing bowl and	4
on to his comely	4
had killed a man	4
was a footstool also	4
with one another in	4
went back to ilius	4
by my side and	4
away from the ships	4
did the trojans and	4
his comely head he	4
at the far end	4
spite of all this	4
there happened to be	4
comely head he set	4
way home from troy	4
when the sun had	4
the ships and the	4
a crest of horse	4
there was no one	4
hand of heaven has	4
the main body of	4
to jove the lord	4
out to sea again	4
turn to his neighbour	4
the wrath of heaven	4
up and said among	4
mighty son of saturn	4
the tent of agamemnon	4
is not one of	4
the ghost of achilles	4
as of a great	4
caressed him with her	4
the jaws of death	4
tell me of your	4
think will be best	4
pieces of raw meat	4
of reach of the	4
she took the form	4
over the hands of	4
struck the round shield	4
stood in front of	4
fast as they could	4
tell you all about	4
in the day of	4
he to himself in	4
says you are to	4
of the descendant of	4
nothing to do with	4
came down from her	4
over his head and	4
of the death of	4
that you are a	4
he was son of	4
mine above all others	4
put a stop to	4
he was on the	4
stay where they are	4
all in due course	4
with the son of	4
of strength to the	4
make peace between them	4
the trojans and the	4
be seen from far	4
so did the son	4
with my own eyes	4
the summits of olympus	4
of the achaeans have	4
the house of vulcan	4
that you will not	4
put the pieces upon	4
to the land of	4
as far as a	4
these words he led	4
did he speak and	4
the body of him	4
the earth ran red	4
but he was a	4
and tell me truly	4
and mine above all	4
hard by our ships	4
one another in the	4
city of the trojans	4
and to the sea	4
host of the trojans	4
the sea so as	4
took hold upon him	4
him with an arrow	4
them round in two	4
greatness of my house	4
fell thick on one	4
from which he had	4
and took his place	4
they fight as it	4
a richly decorated seat	4
as men now are	4
servant brought them bread	4
whereon he fell heavily	4
it were a flaming	4
let fly with his	4
their swords and spears	4
clean table beside them	4
they went home to	4
he addressed them thus	4
the death of him	4
them many good things	4
take part in the	4
put it in my	4
of a great multitude	4
i now bid you	4
for i would not	4
when the days of	4
the heights of ida	4
more life left in	4
the mighty stream of	4
little ones of the	4
the spear struck him	4
of the cloister and	4
and you will have	4
have you left the	4
alexandrus husband of lovely	4
till he came to	4
words he moved the	4
to break their oaths	4
the gods in council	4
offered them many good	4
ship into the water	4
forth out of the	4
for the fourth time	4
spoke he drew his	4
and king agamemnon answered	4
they had finished their	4
with shield and spear	4
earth ran red with	4
the two ajaxes and	4
in the pride of	4
son of peleus and	4
the mighty son of	4
in valour as with	4
captain of the lycians	4
out of the ground	4
as that of the	4
has sent me to	4
the form of a	4
him with her hand	4
the son of panthous	4
let me tell you	4
about the waters of	4
the beginning of the	4
he was not to	4
the daughter of great	4
upon the knees of	4
to them from the	4
the keen blade that	4
i will show you	4
the best man among	4
they had tasted the	4
me to marry again	4
went about everywhere among	4
clothed in valour as	4
me of your town	4
the force of the	4
i much fear that	4
see if you can	4
son of telamon was	4
heart was clouded with	4
ten or twelve days	4
so that all his	4
this the son of	4
and little ones of	4
the spear from his	4
with a crest of	4
the gates and the	4
the hand of the	4
like that of the	4
and all you other	4
and on his way	4
then they laid their	4
ajax the son of	4
the press of the	4
the first to break	4
so that he is	4
the body of sarpedon	4
priam and the trojans	4
no help for it	4
fell headlong from the	4
for it is to	4
go to bed with	4
a bad end before	4
fast as you can	4
and in all honesty	4
even so did menelaus	4
did the old man	4
and enjoyed the boon	4
under the echoing gatehouse	4
that hearth of ulysses	4
took care of me	4
for it is a	4
swords and spears pointed	4
the round shield of	4
the days of his	4
jove is minded to	4
all the other gods	4
upon the face of	4
ulysses to which i	4
break through the wall	4
like an immortal god	4
armour of the son	4
aim at him with	4
you can not have	4
why have you left	4
on his comely head	4
and the point of	4
they cut out the	4
at the going down	4
menelaus of the loud	4
those who were on	4
we could see the	4
that i may learn	4
do not press me	4
there was a footstool	4
in the armour of	4
and take it to	4
argives on their part	4
for he did not	4
and struck him on	4
alive and on his	4
and went about among	4
been on the fire	4
valour as with a	4
against the end wall	4
get news of his	4
was a rich man	4
now that i am	4
for there are many	4
not all of us	4
son of menoetius and	4
she stood by one	4
field of battle and	4
down and it came	4
on the face of	4
bulwark of the achaeans	4
the presence of the	4
them to wash their	4
now there was a	4
i doubt not that	4
came down from heaven	4
bowls with wine and	4
of the gods was	4
an old friend of	4
on one side and	4
may be in the	4
it is i who	4
that you have been	4
after the manner of	4
with these there came	4
a crew of twenty	4
there would have been	4
and spears pointed at	4
who was son of	4
there is not a	4
and they had tasted	4
to the store room	4
ulysses and his men	4
on the point of	4
ulysses leading the way	4
said to himself in	4
as soon as possible	4
at the place where	4
though i were some	4
but i can not	4
the son of capaneus	4
glared at him and	4
that the achaeans should	4
i am now come	4
did the two ajaxes	4
while they were thus	4
all the bravest of	4
set a large tripod	4
moved the heart of	4
are going to be	4
me in this way	4
wrapped them round in	4
than any other of	4
all the year round	4
to the two ajaxes	4
me against my will	4
from the body of	4
ulysses and the swineherd	4
so great and strong	4
was very angry and	4
me to the very	4
to the very heart	4
drove out through the	4
people as though he	4
over land and sea	4
had tasted the inward	4
is alive or dead	4
to wash their hands	4
upon the trojans and	4
now it is all	4
man of them all	4
the scaean gates and	4
round the city of	4
did not know what	4
to the tent of	4
before any one else	4
top of his voice	4
them water in a	4
revenge upon the suitors	4
the achaeans are in	4
me when i was	4
land of the phaeacians	4
take nothing by it	4
or to the other	4
him then and there	4
up to me and	4
from off the ground	4
one of the immortals	4
among his own people	4
surely come to pass	4
sail the sea so	4
the women joined in	4
for him in the	4
many of the achaeans	4
the death of the	4
his way through the	4
a little way out	4
and laid them in	4
in the island of	4
poured water over the	4
the wives and little	4
i do not care	4
so that he died	4
not a man of	4
as with a garment	4
in his suit of	4
on board at once	4
be angry with me	4
now there is a	4
back under cover of	4
i am in no	4
their work and the	4
tasted the inward meats	4
then drew his sword	4
has seen fit to	4
and stripped the armour	4
the hands of achilles	4
as fast as his	4
it seemed as though	4
two sons of atreus	4
to hector and said	4
in an agony of	4
the front of the	4
there is not one	4
and loose the hawsers	4
words he led the	4
broke up the assembly	4
in the matter of	4
i will also give	4
in at their ships	4
the house of peleus	4
out of the heavens	4
from his head and	4
and i will give	4
to consult the ghost	4
these words he moved	4
an end of them	4
as i now am	4
whom the son of	4
as he was told	4
that live in heaven	4
grant that i may	4
he set his helmet	4
had made their offerings	4
will be much better	4
no way out of	4
the walls of troy	4
so long as i	4
the head and shoulders	4
had finished their work	4
but the blessed gods	4
in the outer court	4
the head of the	4
the trojans at the	4
took aim at him	4
waves of the weary	4
to be ashamed of	4
i would not listen	4
when they had finished	4
i want to know	4
in defence of their	4
put on my armour	4
one would turn towards	4
the end wall of	4
sorely against his will	4
up to ulysses and	4
sea so as to	4
for there is nothing	4
followed in her steps	4
shall not move me	4
the gate of the	4
went up to hector	4
point went clean through	4
for he was as	4
one of the achaeans	4
though you were a	4
to one of the	4
cut out the thigh	4
round after giving every	4
she went back to	4
me of all my	4
go up to him	4
look upon the light	4
was the beginning of	4
round in two layers	4
so as to reach	4
other of the achaeans	4
then she said to	4
in his hands and	4
to take to the	4
silver basin for them	4
and all her wealth	4
robbed him of his	4
but i do not	4
the boon of sleep	4
and made it fast	4
would turn towards his	4
after having gone through	4
over him the while	4
the bones of his	4
servants poured water over	4
father who has so	4
i will not stay	4
must go back to	4
i am than you	4
that he was to	4
bravest of the argives	4
he made his way	4
basin for them to	4
sandals on to his	4
do not be angry	4
did not pierce it	4
the son of phyleus	4
looking out upon the	4
why have you come	4
in all manner of	4
thereon the son of	4
blessed boon of sleep	4
did they fight as	4
he spoke and hurled	4
ought to be ashamed	4
on to his chariot	4
he was longing to	4
lying on the ground	4
courage into his heart	4
the bronze point of	4
posts supporting the roof	4
it is you who	4
both men and women	4
each one of us	4
set and darkness was	4
of men and horses	4
bring death and destruction	4
as long as you	4
did as he was	4
and would not let	4
on and on till	4
the greatness of my	4
in store for me	4
as soon as you	4
from the day on	4
you are the most	4
give victory to one	4
no more life left	4
to jove the son	4
and the earth ran	4
as far as the	4
went up to the	4
they took their seats	4
his eyes as he	4
for there was a	4
set them on to	4
he doubted whether to	4
the day on which	4
the only man who	4
as soon as she	4
that was in the	4
is i who am	4
and set it on	4
who had come from	4
will be able to	4
fight as it were	4
the end i deemed	4
in the room that	4
and prayed to the	4
him there came forty	4
of ulysses to which	4
and sprinkling the barley	4
the gates of the	4
where you come from	4
to save his life	4
finished their work and	4
against the time when	4
man of the two	4
in word or deed	4
at break of day	4
his hands and feet	4
the ordering of your	4
ones of the trojans	4
you have had your	4
the likeness of a	4
for it is i	4
from the other side	4
him about the head	4
of the sun we	4
into the vault of	4
i shall come to	4
and offered them many	4
out of reach of	4
hold of his knees	4
to give orders to	4
each to his own	4
at one another in	4
meanwhile the suitors were	4
and fight with might	4
that i may see	4
from first to last	4
from the heights of	4
me as though i	4
name every single one	4
round the body of	4
spoke and hurled it	4
the blessed boon of	4
the burden of his	4
and with them there	4
were lying on the	4
be in the house	4
get back to ithaca	4
it shall not be	4
a maid servant then	4
it will be much	4
the bodies of the	4
saw it coming and	4
that he may be	4
making havoc of the	4
drive him from the	4
hands of the son	4
and the ghost of	4
of agamemnon son of	4
hearth of ulysses to	4
a messenger from jove	4
you will find it	4
of the flying night	4
i tell you that	4
ran up to him	4
over the body of	4
and go about among	4
lashed his horses and	4
land of noble steeds	4
keen blade that hung	4
would not let the	4
then went back to	4
by the shore of	4
when he had found	4
it seems that i	4
rim of his shield	4
hold his own against	4
themselves down to sleep	4
brought them water in	4
may be able to	4
struck the shield of	4
not press me to	4
much as a thought	4
spear of pelian ash	4
offerings and had drunk	4
that you may see	4
darkness veiled his eyes	4
what is it that	4
he had been a	4
must go to the	4
shoulders and went right	4
each by his own	4
in the first place	4
spear out of his	4
he it was who	4
when he saw them	4
for him when he	4
hearts of the achaeans	4
the loss of his	4
then aimed a spear	4
pointed at both ends	4
singularly fleet of foot	4
gave it to his	4
of him who has	4
would not listen to	4
his sandals on to	4
on the tenth day	4
strength to the achaeans	4
i will make you	4
and this is the	4
news of his father	4
