trigram	frequency
to the plain	14
that were before	14
the wall of	14
out upon the	14
as much as	14
if you can	14
is in the	14
when i am	14
glad when he	14
cry of battle	14
he was the	14
among the host	14
and he had	14
it is all	14
in full armour	14
in his turn	14
to try and	14
in the ground	14
the good things	14
gave it to	14
me when i	14
and many a	14
those who are	14
to your heart	13
and they flew	13
in honour of	13
on board and	13
that he fell	13
with him in	13
brave son of	13
saying to your	13
for all his	13
of his shield	13
one another in	13
you are not	13
all the other	13
he sat down	13
and the others	13
i must go	13
from his own	13
slayer of argus	13
and let him	13
but when he	13
while the other	13
and set it	13
which of the	13
they would have	13
all the achaeans	13
point of the	13
the sire of	13
the man who	13
thus he spoke	13
in all directions	13
in close combat	13
lay my saying	13
but he did	13
and they all	13
the bronze point	13
that they might	13
now that he	13
he had come	13
make an end	13
and with a	13
achilles son of	13
with the trojans	13
in your own	13
the light of	13
shirt and cloak	13
for a while	13
but even so	13
but he was	13
from his hand	13
as i have	13
the anger of	13
it to the	13
of the race	13
of the same	13
a brave man	13
into the middle	13
in the hands	13
from off the	13
were led by	13
till he had	13
the hearts of	13
the sound of	13
rattling round him	13
the two sons	13
about the body	13
on the trojans	13
of his father	13
the shield of	13
and let us	13
and lay my	13
of their own	13
strong city of	13
put on their	13
the other hand	13
is a very	13
get back to	13
to hector and	13
and his armour	13
took their places	13
my saying to	13
him in a	13
the will of	13
he was in	13
to see if	13
fell from his	13
and struck him	13
summits of olympus	13
put on his	13
of the two	13
of the city	13
till i have	13
for the trojans	13
daughter of aegis	13
a fair wind	13
came down from	12
if he had	12
in the cloister	12
trojans and their	12
both of us	12
of the ship	12
that of the	12
just as he	12
with an arrow	12
cover of his	12
was son of	12
he went up	12
the bow and	12
in the morning	12
there is nothing	12
the young men	12
there was not	12
could do so	12
one of you	12
for the achaeans	12
and every man	12
to a bad	12
son of jove	12
at any rate	12
of the others	12
went into the	12
the livelong day	12
son of neleus	12
over his head	12
jove the lord	12
fight the trojans	12
a bad end	12
down from heaven	12
he had killed	12
you were a	12
shall not be	12
men and women	12
but in the	12
it was not	12
sacked the city	12
and as soon	12
his armour rang	12
i shall be	12
and the swineherd	12
struck him on	12
into the hands	12
had done so	12
in among the	12
even as i	12
on his back	12
their hands and	12
as you will	12
thick of the	12
his wife and	12
armour rang rattling	12
he was coming	12
rang rattling round	12
ranks of the	12
son of nestor	12
of all my	12
if he is	12
the grey sea	12
spear in hand	12
of a truth	12
and when she	12
the sea and	12
there are many	12
his sword and	12
the gods who	12
till at last	12
from the day	12
did the trojans	12
by reason of	12
every kind of	12
can tell you	12
went on to	12
of the women	12
him in his	12
do not know	12
come to a	12
he was to	12
gave him a	12
go about among	12
many a time	12
the scaean gates	12
the mouth of	12
to me and	12
if i were	12
will give him	12
he left the	12
he will not	12
and you will	12
and it shall	12
night and day	12
and with them	12
and let the	12
after the other	12
midst of them	12
me at once	12
and his eyes	12
of the earth	12
on one side	12
on the right	12
it in the	12
in his house	12
your own house	11
hands and feet	11
all day long	11
not a man	11
you are the	11
and pallas minerva	11
man among the	11
if you would	11
the cry of	11
in a moment	11
did even as	11
him out of	11
for there are	11
and sat down	11
them on to	11
and he fell	11
from the chariot	11
had thus spoken	11
son of panthous	11
to fight the	11
with his sword	11
as the wind	11
jove the son	11
he had done	11
the bodies of	11
in their hands	11
the people of	11
tell me also	11
to get home	11
though he had	11
as with a	11
do as you	11
he had got	11
daughter of great	11
he came to	11
and will not	11
from under the	11
of men and	11
that i can	11
who is the	11
his own people	11
to the achaeans	11
they could not	11
sack the city	11
for you to	11
he deemed it	11
and the heart	11
the body and	11
shall surely be	11
and i have	11
set out for	11
but the spear	11
did he pray	11
have said is	11
round him as	11
of the outer	11
to his father	11
off to the	11
middle of his	11
a long time	11
on the sea	11
her in the	11
he may be	11
their wives and	11
hard by the	11
caught sight of	11
listen to me	11
he is to	11
the horses of	11
to give him	11
the form of	11
as he lay	11
upon the earth	11
my own house	11
of the bow	11
with a great	11
of your own	11
but the gods	11
angry with me	11
the achaeans in	11
back from the	11
when they heard	11
of all this	11
long way off	11
for she was	11
as when the	11
from the city	11
but on the	11
i have never	11
for he has	11
heard his prayer	11
i will make	11
addressed them thus	11
way in which	11
as i was	11
for the son	11
in the face	11
descendant of aeacus	11
into them all	11
that they may	11
the strong city	11
sire of gods	11
they did even	11
the ships in	11
he spoke and	11
on to his	11
what are you	11
king of the	11
so that they	11
the voice of	11
is no one	11
the front ranks	11
of the loud	11
one after the	11
and you shall	11
to the danaans	11
after he had	11
chariot and horses	11
and it was	11
you seem to	11
to the achaean	11
even as he	11
son of lycaon	11
for they had	11
she said to	11
him into the	11
i was in	11
the day of	11
deemed it best	11
the fury of	11
ships and tents	11
i will do	11
the brave son	11
from the house	11
did as he	11
let us go	11
them to the	11
head and shoulders	11
came close up	11
him and answered	11
by the side	11
let us be	11
and his son	11
all manner of	11
the armour of	11
and we will	11
at him with	11
and would have	11
so that his	10
see that you	10
from the wound	10
it is that	10
the waves of	10
with which he	10
and soul into	10
to the land	10
he is in	10
had been a	10
caught hold of	10
will be a	10
out of him	10
as he heard	10
out of my	10
hold of the	10
the right shoulder	10
you will be	10
side by side	10
and those that	10
you are so	10
his horses and	10
in great fear	10
house of jove	10
when a man	10
ulysses was glad	10
wives and children	10
face of the	10
words he put	10
that we should	10
the spear struck	10
do not think	10
as i now	10
he reached the	10
single one of	10
who had come	10
in two minds	10
back to ithaca	10
fleet son of	10
it is the	10
this was the	10
but i am	10
his men and	10
for they are	10
to leave off	10
have come to	10
as a man	10
by the trojans	10
up in a	10
the place of	10
fleet of foot	10
let us all	10
he fell headlong	10
one of those	10
and achilles answered	10
what you have	10
front of him	10
to see the	10
and counsellors of	10
soul into them	10
heart and soul	10
was the son	10
they had made	10
as though you	10
he took the	10
over all the	10
shouted to the	10
he will be	10
his way to	10
these were led	10
of him who	10
into the town	10
leave off fighting	10
made sure that	10
man by man	10
i did not	10
as you have	10
like honour with	10
of great jove	10
one another and	10
i have had	10
strip him of	10
his spear and	10
it is i	10
through the livelong	10
i can tell	10
the trojans to	10
did the two	10
and hurled it	10
on the good	10
his father and	10
when he has	10
now that you	10
that i were	10
himself in his	10
he saw the	10
they had been	10
the inward meats	10
councillors of the	10
i have no	10
honour to the	10
of his son	10
and they had	10
i shall have	10
with a cry	10
do you not	10
one of us	10
for me to	10
to the going	10
and the spear	10
that the gods	10
counsellors of the	10
so that it	10
and now you	10
we reached the	10
menelaus son of	10
peer of gods	10
the glory of	10
and they have	10
by the banks	10
long as you	10
he has been	10
she went to	10
said to his	10
whom you have	10
of a great	10
that he will	10
back to ilius	10
of the fleet	10
and when the	10
stay here and	10
both of you	10
up to her	10
the head and	10
but i can	10
of the bearing	10
me of my	10
but you are	10
it best to	10
you do not	10
as a lion	10
the way to	10
and the women	10
the achaeans would	10
in defence of	10
you must have	10
all do as	10
he was not	10
and i was	10
were in the	10
along with the	10
as she was	10
in the river	10
that he could	10
he is a	10
he it was	10
on to fight	10
who have been	10
and see whether	10
top of them	10
in the ship	10
place of assembly	10
the armour from	10
all of us	10
as he is	10
the achaeans with	10
did not know	10
the men of	10
their hands on	10
it shall surely	10
his knees and	10
can you not	10
by the hands	10
up to them	10
hand of heaven	10
the city and	10
to help the	10
and full of	10
went clean through	10
a couple of	10
and at once	10
give up the	10
fell to the	10
let us then	10
and i shall	9
upon the achaeans	9
there is not	9
you as a	9
old man of	9
and poured it	9
the doors of	9
ships into the	9
spear as he	9
darkness of death	9
to the immortals	9
son of aeacus	9
any one who	9
of the ships	9
when there is	9
stood in the	9
he was now	9
the ship of	9
may speak even	9
son of noble	9
you have got	9
jove and the	9
nestor knight of	9
even though he	9
the achaeans had	9
livelong day to	9
on the benches	9
though you be	9
then he went	9
who were in	9
a great deal	9
it would have	9
sun went down	9
the temple of	9
to help him	9
flew forward nothing	9
he should have	9
hearts of the	9
place where the	9
a man who	9
and the point	9
be in the	9
day to the	9
till he has	9
my dear child	9
the tent of	9
and sent him	9
of achilles son	9
i were to	9
the achaeans should	9
give him a	9
he was still	9
and laid them	9
lord of thunder	9
to jove and	9
give you a	9
come down from	9
want to go	9
and he could	9
the wife of	9
i am minded	9
but there was	9
for the suitors	9
over him saying	9
it in his	9
to their ships	9
of your father	9
go up to	9
i will take	9
the end he	9
the roof of	9
tents and ships	9
him as though	9
a herd of	9
to himself in	9
for i shall	9
when they are	9
long as the	9
you need not	9
the knees of	9
a spear at	9
he will give	9
she spoke she	9
the wall and	9
sprang upon him	9
but if you	9
whether or no	9
with many a	9
and the men	9
of them that	9
string the bow	9
it was the	9
at him as	9
as he saw	9
shall come to	9
end he deemed	9
wine and water	9
of the lycians	9
said to him	9
i may speak	9
and in his	9
horses of the	9
to my mother	9
went back into	9
as one who	9
it into the	9
many a man	9
spear out of	9
speak even as	9
as they heard	9
it came on	9
as that of	9
the stern of	9
among the gods	9
heard this he	9
the ghosts of	9
all over the	9
both brave and	9
his bow and	9
to sack the	9
the presence of	9
she took the	9
the men were	9
vaunted over him	9
all kinds of	9
on the neck	9
for you have	9
his right hand	9
of gold and	9
he heard this	9
put heart and	9
all the land	9
of gods in	9
from every quarter	9
them in a	9
any other of	9
with all sincerity	9
me from the	9
and went about	9
was going to	9
long as he	9
and his mother	9
have never yet	9
his spear as	9
waves of the	9
and the earth	9
would be the	9
is full of	9
the way in	9
which they had	9
and all of	9
struck him with	9
in the hope	9
and killed him	9
neptune lord of	9
the sun went	9
and on his	9
daughter of jove	9
to look upon	9
would not be	9
towards the city	9
where you are	9
that you were	9
whom he had	9
much as he	9
i take it	9
princes and counsellors	9
the gleam of	9
as you can	9
i should be	9
of his comrades	9
of another matter	9
the trojans in	9
they have been	9
make trial of	9
give victory to	9
though you were	9
upon the beach	9
are going to	9
you shall have	9
it into a	9
sincerity and goodwill	9
he had made	9
in a thick	9
by father jove	9
why are you	9
all sincerity and	9
they flew forward	9
up into the	9
at their head	9
too quick for	9
her own room	9
him on to	9
aimed a spear	9
the wicked suitors	9
he went to	9
water in a	9
me that i	9
in due course	9
for a whole	9
us all do	9
took their seats	9
for them to	9
waters of oceanus	9
he had left	9
he had thus	9
you to the	9
went out of	9
lying on the	9
which you have	9
the island of	9
and ulysses answered	9
the achaeans may	9
that they should	9
as well as	9
tell you that	9
in single combat	9
diomed son of	9
you and i	9
sent me to	9
and with him	9
me in the	9
spite of all	9
in my father	9
the threshold of	9
seem to be	9
and this is	9
fleet as the	9
one who is	9
at this moment	9
the time when	9
the eyes of	9
to his chariot	8
meat and drink	8
man of them	8
ought not to	8
to do as	8
these words she	8
even so was	8
went with him	8
and one of	8
i know that	8
a spear into	8
a shirt and	8
cloud of darkness	8
and make the	8
one of your	8
i should like	8
son of antenor	8
by far the	8
the gates and	8
life left in	8
they were got	8
part in the	8
thrice did he	8
come home again	8
he had taken	8
of many a	8
will not give	8
now that i	8
hold of his	8
his eyes were	8
to do with	8
you have done	8
the store room	8
soon as i	8
on to a	8
chariot to the	8
we may make	8
go with you	8
and prayed to	8
at all times	8
you may have	8
with the other	8
why have you	8
in an uproar	8
endowed him with	8
while i was	8
i pray you	8
if you do	8
tell you all	8
you shall be	8
that it was	8
would not listen	8
about among them	8
all those who	8
was filled with	8
when we had	8
down on the	8
among them all	8
you have a	8
he can not	8
gods who live	8
was not a	8
o swineherd eumaeus	8
i know you	8
at once to	8
when i saw	8
out for troy	8
the princes of	8
so many of	8
they had got	8
he told them	8
had not the	8
for we are	8
he put heart	8
the front rank	8
orders to the	8
guide and guardian	8
the achaeans have	8
than any of	8
one of these	8
i am going	8
look upon the	8
some one or	8
had reached the	8
for him to	8
who lived in	8
was about to	8
and let me	8
end of you	8
said to ulysses	8
was very angry	8
i dare not	8
have mercy upon	8
therefore i will	8
and his men	8
and find out	8
a cry that	8
and went on	8
will make you	8
and came to	8
of his comrade	8
with him and	8
gold and bronze	8
house of king	8
not do so	8
priam and his	8
in order to	8
while they were	8
the life of	8
some of the	8
and tell the	8
and gave him	8
him at once	8
you ask me	8
to kill him	8
away from him	8
the chariot and	8
the better man	8
going to the	8
will be here	8
when i have	8
the wives and	8
for him and	8
he saw him	8
with all his	8
and no man	8
body of hector	8
all the danaans	8
my own country	8
would not have	8
i made sure	8
who are the	8
that rent the	8
as for me	8
that shall be	8
then the son	8
they can not	8
as regards your	8
would have me	8
to go with	8
in the thick	8
he was son	8
right through his	8
on and on	8
caught him by	8
filled with tears	8
jove and to	8
i have come	8
to his son	8
will of jove	8
him with an	8
mortals and immortals	8
the arms of	8
as a god	8
back again to	8
that all were	8
forward nothing loth	8
the other two	8
is it that	8
of all gods	8
come with me	8
is not right	8
making havoc of	8
them with his	8
he at once	8
then went back	8
some of them	8
let him go	8
the skin of	8
we have been	8
body of his	8
body of the	8
with all speed	8
to them and	8
dead and gone	8
fall by the	8
ulysses and his	8
and went right	8
the fleet son	8
boon of sleep	8
men and horses	8
that they have	8
son of phyleus	8
not listen to	8
on my way	8
down from the	8
daughter of icarius	8
to stand by	8
of the court	8
one of his	8
the beginning of	8
whether he is	8
far from the	8
had not yet	8
round and round	8
to my house	8
under the yoke	8
at the very	8
a rich man	8
hands upon the	8
if he were	8
which is the	8
in my mind	8
and made them	8
either side of	8
the plain of	8
and did not	8
on every side	8
when you are	8
of the myrmidons	8
we could see	8
so great and	8
race of mars	8
had gone to	8
they drew the	8
he sprang from	8
poised his spear	8
from his eyes	8
for the fray	8
way through the	8
was coming on	8
the god had	8
hit him on	8
had come to	8
son of scheming	8
top of his	8
when he went	8
and handed it	8
armour from his	8
were got together	8
to the very	8
came on dark	8
that he shall	8
the slayer of	8
to come to	8
when we were	8
against my will	8
ulysses and the	8
each in his	8
said is true	8
their ships and	8
the town and	8
that they were	8
of all birds	8
we can not	8
in all the	8
the trench and	8
of all kinds	8
the work of	8
hands on the	8
dogs and vultures	8
help the trojans	8
gods in counsel	8
on this she	8
not to be	8
that has been	8
they will not	8
the trojans are	8
for the death	8
and had drunk	8
up his hands	8
and broke the	8
bottom of the	8
will be best	8
the achaeans who	8
he might be	8
what kind of	8
to come and	8
i am to	8
of his helmet	8
the sun was	8
he put on	8
my father and	8
there will be	8
a beautiful golden	8
as the sun	8
whereon he fell	8
city of troy	8
or you will	8
to go on	8
in her hand	8
rose to speak	8
came forty ships	8
to the immortal	8
in his dismay	8
men of ithaca	8
had come from	8
best of it	8
he could do	8
valiant son of	8
their hands upon	8
and his sons	8
of the trojan	8
went close up	8
spear went right	8
with all their	8
his chariot to	8
but the other	8
with his own	8
when they got	8
can not be	8
not give him	8
while the others	8
and went back	8
talents of gold	8
to her father	8
was on the	8
from the field	8
any of them	8
he led the	8
of our ships	8
of scheming saturn	8
light of the	8
then he took	8
and it came	8
of the assembly	8
the ship and	8
and took their	8
that i was	8
took his place	8
say what i	8
nevertheless i will	8
above all others	8
to jove the	8
tell you the	8
the gods that	8
left in him	8
both men and	8
if he could	8
by the spear	7
spite of his	7
sacrifice to the	7
on the side	7
benches and seats	7
the depths of	7
you with a	7
but when they	7
minerva came up	7
what manner of	7
is at hand	7
some other of	7
spoke he drew	7
but they were	7
from his shoulders	7
and jove answered	7
if you were	7
me as though	7
for i want	7
battle with the	7
tell you truly	7
when the two	7
have a good	7
in the meantime	7
fury of the	7
for a long	7
word or deed	7
to him in	7
marvelled at the	7
and had been	7
among the myrmidons	7
an upper servant	7
the argives were	7
other side of	7
by the foot	7
by one of	7
he went on	7
and of great	7
as they beheld	7
on top of	7
have escaped death	7
for i would	7
the trojans back	7
on to it	7
all the others	7
of the ground	7
much stronger than	7
with the suitors	7
about the return	7
live in heaven	7
then she went	7
if so be	7
of the way	7
about his body	7
all were satisfied	7
ship into the	7
was beginning to	7
of a woman	7
they will be	7
that all the	7
to the host	7
from his seat	7
as when a	7
she drew a	7
for i know	7
for you and	7
at his feet	7
he spoke to	7
to you as	7
he has fallen	7
with his bow	7
were commanded by	7
a wild boar	7
in the dead	7
after the son	7
and strong as	7
had made their	7
man had his	7
was a great	7
the valiant son	7
leader of the	7
you have spoken	7
it with a	7
into the fight	7
the danaans and	7
to save his	7
the others had	7
and how he	7
achaeans would have	7
i bid you	7
the rim of	7
to hear the	7
in the depths	7
ships in the	7
made an end	7
set sail for	7
so were the	7
was not to	7
his dear comrade	7
part of his	7
like that of	7
a man can	7
to an end	7
the walls of	7
drew his sword	7
most noble son	7
go down into	7
and see if	7
not know what	7
and that he	7
though they were	7
say that you	7
of him and	7
will not let	7
and spoke piteously	7
out by the	7
among the immortals	7
hold upon him	7
of the plain	7
for my father	7
i have to	7
hand of jove	7
with this she	7
but let us	7
it was all	7
when she reached	7
their chariots and	7
and tried to	7
took care of	7
any one of	7
on the fire	7
front of them	7
among the ranks	7
my own heart	7
against one another	7
he sent me	7
horse and foot	7
do not be	7
the burden of	7
took the form	7
about the head	7
them and said	7
me of all	7
with him there	7
this you answered	7
to the front	7
his own ship	7
hand on the	7
and look after	7
had told them	7
and king agamemnon	7
round the body	7
go on board	7
of all those	7
as it was	7
lord of all	7
into a silver	7
what he said	7
he had not	7
what he had	7
would have had	7
when they came	7
of the noble	7
stripped the armour	7
up to ulysses	7
in the rear	7
on his armour	7
and you can	7
and darkness was	7
rim of his	7
in such a	7
the dead of	7
so saying he	7
were still young	7
between trojans and	7
when the achaeans	7
he made the	7
even so were	7
were i to	7
cry that rent	7
there came forty	7
and this was	7
among the suitors	7
on board ship	7
as you say	7
in all things	7
to the store	7
so did hector	7
and all his	7
from the ground	7
and thrice did	7
death and destruction	7
and took the	7
that no one	7
so be it	7
fair to see	7
he held his	7
you will see	7
then ulysses said	7
and listen to	7
but he is	7
his full share	7
and their allies	7
then she said	7
fell upon the	7
was a man	7
without a word	7
in her own	7
to this you	7
who will be	7
as you were	7
of what there	7
the shore of	7
the tenth day	7
armour of the	7
cloak and shirt	7
the ground as	7
home to bed	7
had his full	7
went down into	7
with wine and	7
i am older	7
is not well	7
all sorts of	7
to his men	7
the tomb of	7
one and all	7
he poised his	7
servants of mars	7
up and said	7
to the argives	7
furthermore i say	7
me tell you	7
up out of	7
to make a	7
in pursuit of	7
about the city	7
of them in	7
the gate of	7
in the hand	7
them in their	7
have nothing to	7
me on my	7
the counsel of	7
with his hands	7
in my house	7
were closed in	7
in the pride	7
of the god	7
of his hands	7
the mighty god	7
he could find	7
you would not	7
upon the ships	7
was father to	7
which the achaeans	7
darkness was over	7
the bane of	7
with such a	7
but the achaeans	7
i came to	7
has been laid	7
of king priam	7
captains of the	7
the arts of	7
in great pain	7
red with blood	7
men among the	7
one who was	7
head he set	7
the brunt of	7
from the ship	7
but as soon	7
am going to	7
had drunk each	7
let me have	7
sons of priam	7
against the trojans	7
saw that the	7
of saturn has	7
said to them	7
but could not	7
from the body	7
the high wall	7
go at once	7
going to be	7
because i am	7
to tell the	7
them with the	7
he set the	7
lifted up his	7
till you have	7
did you not	7
me on the	7
the course of	7
where i was	7
out of your	7
the story of	7
the suitors are	7
darkness of the	7
stood up and	7
rent the air	7
the left wing	7
we do not	7
son of anchises	7
minerva and juno	7
the blood of	7
the north wind	7
hands in prayer	7
he laid his	7
plain of troy	7
had made him	7
that you might	7
but the men	7
from the trojans	7
upon him and	7
though he is	7
where he had	7
though it had	7
come back to	7
his hands in	7
far from his	7
said among the	7
we had got	7
no man can	7
he was when	7
but i would	7
a present of	7
will be the	7
then they laid	7
we shall have	7
when they have	7
you have no	7
a breath of	7
of the old	7
to fetch the	7
and in all	7
i have a	7
the achaean name	7
and their hearts	7
on this they	7
he had a	7
who was son	7
robbed me of	7
from off his	7
of us who	7
of king alcinous	7
them of their	7
not so much	7
of the goddess	7
if he will	7
to father jove	7
the other achaeans	7
the pride of	7
to call the	7
you were to	7
into the heart	7
the tents of	7
put up with	7
made them fast	7
if you could	7
back to their	7
they did not	7
my good friend	7
those that held	7
would have gone	7
that no man	7
horses to the	7
there was in	7
they and their	7
i were still	7
i am now	7
the back of	7
the trojans from	7
the bottom of	7
for my own	7
hand in his	7
roof of the	7
at that moment	7
came up and	7
throughout the city	7
dead of night	7
the water side	7
to take him	7
fingered dawn appeared	7
into the open	7
the gods had	7
your town and	7
the dead body	7
close up with	7
be angry with	7
and the ships	7
where it was	7
with my spear	7
and town councillors	7
a cloud of	7
he may have	7
you want to	7
break through the	7
put it in	7
i wish i	7
of his dear	7
to him with	7
he was on	7
from which he	7
in the chest	7
he made a	7
son of hyrtacus	7
aim at him	7
it is well	7
