adverb	frequency
extremely	2
falsely	2
farther	2
favourably	2
foolishly	2
forwards	2
freshly	2
harder	2
highly	2
humbly	2
idiot	2
idly	2
immoderately	2
justly	2
largely	2
magnificently	2
marvellously	2
mightiest	2
mightily	2
moodily	2
namely	2
narrowly	2
of	2
patiently	2
poorly	2
purposely	2
ravenously	2
re-	2
readily	2
recklessly	2
rightly	2
ruthlessly	2
scouts	2
seldom	2
separately	2
shabby	2
slowly	2
somewhat	2
specially	2
steadfastly	2
stubbornly	2
sulkily	2
swam	2
tamely	2
thereof	2
thirdly	2
to-	2
trippingly	2
unseemly	2
untimely	2
usually	2
valorously	2
wickedly	2
wildly	2
wilfully	2
wonderfully	2
aboard	1
abominably	1
absolutely	1
abundantly	1
across	1
admiringly	1
aforetime	1
after--	1
aimlessly	1
alongside	1
aloof--	1
amiss	1
among	1
amongst	1
amply	1
apiece	1
ashen	1
astray	1
atrociously	1
autolycus--	1
awhile	1
bandy-	1
beforehand	1
beside	1
blazing--	1
blindly	1
bloodlessly	1
both	1
briefly	1
brighter	1
briskly	1
brutally	1
bully	1
busily	1
can--	1
carelessly	1
case-	1
cheap	1
cheeringly	1
clearly	1
comfortingly	1
compassionately	1
completely	1
course	1
covertly	1
cruelly	1
curiously	1
daily	1
dally	1
dangerously	1
dear	1
decently	1
depart	1
deplore	1
didst	1
differently	1
discreet	1
disgracefully	1
disrespectfully	1
doubtless	1
doughty	1
downstairs	1
dreadfully	1
eagerly	1
earnest	1
easy-	1
eight-	1
elder	1
encouragingly	1
entirely	1
eurytus--	1
evermore	1
everywhither	1
evidently	1
exquisite	1
extraordinarily	1
fervently	1
few--	1
fewer	1
fine	1
finer	1
firstly	1
forever	1
formerly	1
foul	1
fourth	1
fragrant	1
fruitlessly	1
ghastly	1
glibly	1
good-	1
gracefully	1
grimly	1
grit	1
grossly	1
ground--	1
guilefully	1
handedly	1
handsomely	1
hard-	1
harmlessly	1
hastily	1
heavenward	1
heavy	1
heedfully	1
hereabouts	1
hereby	1
hitherwards	1
honestly	1
hotly	1
humouredly	1
hurriedly	1
ill-	1
immeasurably	1
impetuously	1
imploringly	1
inordinately	1
insatiably	1
insolently	1
intolerably	1
invariably	1
joyfully	1
joyously	1
keenly	1
kind	1
lament-	1
lamentably	1
laughingly	1
lavishly	1
lawgiver	1
likely	1
little	1
lovingly	1
loyally	1
luxuriantly	1
maybe	1
meanly	1
meantime	1
meekly	1
meets	1
mell	1
mercilessly	1
merrily	1
mischief-	1
movingly	1
musically	1
naturedly	1
nearer	1
nearest	1
neither	1
nevermore	1
niggardly	1
nilly	1
nimbly	1
nobly	1
noiselessly	1
nowhere	1
open	1
opportunely	1
opposite	1
originally	1
orsilochus	1
out-	1
outright--	1
painlessly	1
panic-	1
passionately	1
peaceably	1
permanently	1
persistently	1
plausibly	1
powerfully	1
prayerfully	1
prematurely	1
princely	1
privately	1
purely	1
rapidly	1
rascally	1
resolutely	1
reverently	1
rigorously	1
roundly	1
rudely	1
sea--	1
seemly	1
seriously	1
seven-	1
severely	1
shamefully	1
shameless	1
sharply	1
shockingly	1
sideways	1
simply	1
singly	1
sixthly	1
slightly	1
"soldiers--""hither"	1
somehow	1
sore	1
sorry	1
spercheius--	1
spitefully	1
squally	1
stoutly	1
straighter	1
straightforwardly	1
straightly	1
straightway	1
strangely	1
strictly	1
tauntingly	1
tearfully	1
that	1
tidily	1
trechus	1
troubled--	1
ultimately	1
underneath	1
unexpectedly	1
unfailingly	1
unrighteously	1
uprightly	1
upward	1
urgently	1
usher	1
vaingloriously	1
vigorously	1
visibly	1
wakefully	1
warily	1
warmly	1
wherefore	1
wholly	1
widely	1
willingly	1
willy	1
with--	1
wondrously	1
woolly	1
wretchedly	1
you-	1
